Paired Trucks and Jobs
Truck id:2 Job id:5
Truck id:5 Job id:16
Truck id:6 Job id:1
Truck id:8 Job id:3
Truck id:9 Job id:19
Truck id:12 Job id:9
Truck id:13 Job id:15
Truck id:14 Job id:0
Truck id:16 Job id:13
Truck id:18 Job id:17
Truck id:20 Job id:7
Truck id:22 Job id:8
Truck id:24 Job id:20
Truck id:25 Job id:31
Truck id:27 Job id:35
Truck id:32 Job id:92
Truck id:36 Job id:21
Truck id:39 Job id:25
Truck id:41 Job id:33
Truck id:42 Job id:14
Truck id:44 Job id:10
Truck id:49 Job id:18
Truck id:51 Job id:27
Truck id:52 Job id:34
Truck id:53 Job id:23
Truck id:55 Job id:41
Truck id:56 Job id:11
Truck id:58 Job id:2
Truck id:59 Job id:104
Truck id:60 Job id:28
Truck id:63 Job id:51
Truck id:65 Job id:127
Truck id:70 Job id:133
Truck id:73 Job id:32
Truck id:75 Job id:29
Truck id:78 Job id:38
Truck id:82 Job id:39
Truck id:87 Job id:46
Truck id:98 Job id:43
Truck id:101 Job id:54
Truck id:102 Job id:48
Truck id:103 Job id:164
Truck id:113 Job id:49
Truck id:114 Job id:196
Truck id:116 Job id:30
Truck id:117 Job id:55
Truck id:118 Job id:40
Truck id:119 Job id:12
Truck id:120 Job id:56
Truck id:121 Job id:62
Truck id:127 Job id:22
Truck id:131 Job id:42
Truck id:132 Job id:50
Truck id:133 Job id:26
Truck id:142 Job id:4
Truck id:145 Job id:63
Truck id:150 Job id:6
Truck id:152 Job id:61
Truck id:153 Job id:24
Truck id:154 Job id:59
Truck id:158 Job id:64
Truck id:160 Job id:66
Truck id:163 Job id:78
Truck id:164 Job id:60
Truck id:166 Job id:52
Truck id:167 Job id:69
Truck id:170 Job id:45
Truck id:176 Job id:47
Truck id:177 Job id:57
Truck id:178 Job id:80
Truck id:185 Job id:84
Truck id:189 Job id:90
Truck id:193 Job id:125
Truck id:195 Job id:67
Truck id:199 Job id:70
Truck id:200 Job id:65
Truck id:204 Job id:91
Truck id:207 Job id:93
Truck id:208 Job id:71
Truck id:210 Job id:130
Truck id:211 Job id:101
Truck id:212 Job id:36
Truck id:215 Job id:105
Truck id:216 Job id:58
Truck id:218 Job id:149
Truck id:219 Job id:87
Truck id:220 Job id:73
Truck id:222 Job id:76
Truck id:223 Job id:107
Truck id:224 Job id:109
Truck id:227 Job id:161
Truck id:230 Job id:98
Truck id:232 Job id:37
Truck id:234 Job id:177
Truck id:236 Job id:75
Truck id:238 Job id:103
Truck id:241 Job id:110
Truck id:242 Job id:197
Truck id:248 Job id:81
Truck id:250 Job id:116
Truck id:251 Job id:82
Truck id:253 Job id:79
Truck id:255 Job id:203
Truck id:256 Job id:74
Truck id:258 Job id:124
Truck id:259 Job id:111
Truck id:260 Job id:77
Truck id:261 Job id:180
Truck id:263 Job id:86
Truck id:268 Job id:115
Truck id:269 Job id:83
Truck id:274 Job id:99
Truck id:275 Job id:117
Truck id:277 Job id:121
Truck id:278 Job id:44
Truck id:280 Job id:88
Truck id:281 Job id:89
Truck id:282 Job id:95
Truck id:286 Job id:122
Truck id:287 Job id:53
Truck id:294 Job id:129
Truck id:295 Job id:136
Truck id:302 Job id:94
Truck id:304 Job id:138
Truck id:306 Job id:102
Truck id:307 Job id:100
Truck id:311 Job id:139
Truck id:317 Job id:188
Truck id:318 Job id:140
Truck id:320 Job id:68
Truck id:325 Job id:151
Truck id:327 Job id:72
Truck id:331 Job id:96
Truck id:333 Job id:141
Truck id:335 Job id:205
Truck id:340 Job id:112
Truck id:343 Job id:144
Truck id:344 Job id:126
Truck id:345 Job id:128
Truck id:346 Job id:147
Truck id:348 Job id:148
Truck id:350 Job id:85
Truck id:351 Job id:230
Truck id:353 Job id:142
Truck id:361 Job id:159
Truck id:362 Job id:143
Truck id:363 Job id:97
Truck id:364 Job id:165
Truck id:365 Job id:171
Truck id:367 Job id:108
Truck id:368 Job id:113
Truck id:371 Job id:172
Truck id:374 Job id:201
Truck id:377 Job id:160
Truck id:378 Job id:245
Truck id:379 Job id:114
Truck id:381 Job id:118
Truck id:383 Job id:170
Truck id:391 Job id:134
Truck id:392 Job id:173
Truck id:393 Job id:106
Truck id:394 Job id:179
Truck id:398 Job id:181
Truck id:400 Job id:192
Truck id:401 Job id:184
Truck id:402 Job id:247
Truck id:403 Job id:195
Truck id:407 Job id:150
Truck id:412 Job id:123
Truck id:414 Job id:185
Truck id:415 Job id:166
Truck id:416 Job id:152
Truck id:418 Job id:146
Truck id:419 Job id:156
Truck id:423 Job id:216
Truck id:424 Job id:186
Truck id:427 Job id:250
Truck id:429 Job id:154
Truck id:430 Job id:268
Truck id:431 Job id:119
Truck id:433 Job id:187
Truck id:436 Job id:286
Truck id:439 Job id:155
Truck id:440 Job id:189
Truck id:447 Job id:120
Truck id:450 Job id:153
Truck id:451 Job id:219
Truck id:452 Job id:193
Truck id:454 Job id:200
Truck id:458 Job id:204
Truck id:459 Job id:254
Truck id:461 Job id:157
Truck id:462 Job id:163
Truck id:463 Job id:162
Truck id:467 Job id:220
Truck id:471 Job id:167
Truck id:472 Job id:206
Truck id:474 Job id:169
Truck id:479 Job id:292
Truck id:480 Job id:255
Truck id:482 Job id:182
Truck id:484 Job id:191
Truck id:487 Job id:202
Truck id:488 Job id:234
Truck id:490 Job id:208
Truck id:491 Job id:198
Truck id:492 Job id:168
Truck id:497 Job id:174
Truck id:499 Job id:215
Truck id:501 Job id:190
Truck id:505 Job id:222
Truck id:507 Job id:207
Truck id:508 Job id:158
Truck id:509 Job id:295
Truck id:510 Job id:228
Truck id:513 Job id:131
Truck id:518 Job id:303
Truck id:524 Job id:256
Truck id:526 Job id:229
Truck id:527 Job id:194
Truck id:530 Job id:313
Truck id:532 Job id:319
Truck id:533 Job id:209
Truck id:534 Job id:260
Truck id:538 Job id:257
Truck id:540 Job id:231
Truck id:544 Job id:175
Truck id:547 Job id:210
Truck id:548 Job id:199
Truck id:549 Job id:262
Truck id:550 Job id:211
Truck id:554 Job id:239
Truck id:559 Job id:214
Truck id:561 Job id:353
Truck id:563 Job id:264
Truck id:564 Job id:240
Truck id:565 Job id:132
Truck id:566 Job id:269
Truck id:573 Job id:241
Truck id:576 Job id:243
Truck id:582 Job id:267
Truck id:583 Job id:233
Truck id:584 Job id:217
Truck id:586 Job id:246
Truck id:587 Job id:252
Truck id:588 Job id:270
Truck id:591 Job id:258
Truck id:592 Job id:274
Truck id:593 Job id:212
Truck id:596 Job id:248
Truck id:598 Job id:237
Truck id:601 Job id:275
Truck id:604 Job id:223
Truck id:612 Job id:354
Truck id:616 Job id:224
